,artist_id,name,artist_url
0,4847-avarus,Avarus,/artists/4847-avarus/
1,33420-pinegrove,Pinegrove,/artists/33420-pinegrove/
2,2438-le-tigre,Le Tigre,/artists/2438-le-tigre/
3,4158-paul-simon,Paul Simon,/artists/4158-paul-simon/
4,4117-alina-simone,Alina Simone,/artists/4117-alina-simone/
5,31210-pharmakon,Pharmakon,/artists/31210-pharmakon/
6,2256-kaada,Kaada,/artists/2256-kaada/
7,lo-tom,Lo Tom,/artists/lo-tom/
8,2207-grace-jones,Grace Jones,/artists/2207-grace-jones/
9,409-blur,Blur,/artists/409-blur/
10,31634-nothing,Nothing,/artists/31634-nothing/
11,10147-wale,Wale,/artists/10147-wale/
12,33856-wolfgang-tillmans,Wolfgang Tillmans,/artists/33856-wolfgang-tillmans/
13,31448-powell,Powell,/artists/31448-powell/
14,2238-jesu,Jesu,/artists/2238-jesu/
15,nabihah-iqbal,Nabihah Iqbal,/artists/nabihah-iqbal/
16,29812-kendrick-lamar,Kendrick Lamar,/artists/29812-kendrick-lamar/
17,34218-fire-toolz,Fire-Toolz,/artists/34218-fire-toolz/
18,various-various-artists,Various Artists,
19,6794-chris-corsano,Chris Corsano,/artists/6794-chris-corsano/
20,29205-bill-orcutt,Bill Orcutt,/artists/29205-bill-orcutt/
21,3960-ken-stringfellow,Ken Stringfellow,/artists/3960-ken-stringfellow/
22,33836-j-balvin,J Balvin,/artists/33836-j-balvin/
23,dominic-fike,Dominic Fike,/artists/dominic-fike/
24,5376-pumice,Pumice,/artists/5376-pumice/
25,kevin-richard-martin,Kevin Richard Martin,/artists/kevin-richard-martin/
26,3051-the-no-nos,The No-No's,/artists/3051-the-no-nos/
27,lil-baby,Lil Baby,/artists/lil-baby/
28,30216-lil-durk,Lil Durk,/artists/30216-lil-durk/
29,27451-fight-bite,Fight Bite,/artists/27451-fight-bite/
30,colter-wall,Colter Wall,/artists/colter-wall/
31,5744-clear-tigers,Clear Tigers,/artists/5744-clear-tigers/
32,2860-mudhoney,Mudhoney,/artists/2860-mudhoney/
33,608-buckshot,Buckshot,/artists/608-buckshot/
34,3170-orbital,Orbital,/artists/3170-orbital/
35,28863-nils-frahm,Nils Frahm,/artists/28863-nils-frahm/
